NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value,Score4Label,Score4Type,Score4Value
373737,1610216,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1610216,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1033861,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100,,,
373737,1033861,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,5-A,Scaled Score,Scale,276,CPI,Scale,100,,,
373737,1278342,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,258,CPI,Scale,100,,,
373737,1278342,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100,,,
373737,1322437,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1322437,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1712560,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1712560,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1007570,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,252,CPI,Scale,100,,,
373737,1007570,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1347722,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1347722,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1852218,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,214,CPI,Scale,25,,,
373737,1852218,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25,,,
373737,1931570,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100,,,
373737,1931570,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1110628,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100,,,
373737,1110628,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1744494,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,228,CPI,Scale,50,,,
373737,1744494,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75,,,
373737,1206310,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,208,CPI,Scale,0,,,
373737,1206310,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,214,CPI,Scale,25,,,
373737,1358692,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75,,,
373737,1358692,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,228,CPI,Scale,50,,,
373737,1420704,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1420704,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1847404,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1847404,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1507404,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75,,,
373737,1507404,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25,,,
373737,1294872,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1294872,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1606262,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100,,,
373737,1606262,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1759395,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25,,,
373737,1759395,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25,,,
373737,1084960,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1084960,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1011692,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,2-W,Scaled Score,Scale,214,CPI,Scale,25,,,
373737,1011692,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1092794,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,224,CPI,Scale,50,,,
373737,1092794,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1858174,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100,,,
373737,1858174,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100,,,
373737,1649393,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1649393,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1585223,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,238,CPI,Scale,75,,,
373737,1585223,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50,,,
373737,1168971,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,246,CPI,Scale,100,,,
373737,1168971,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,248,CPI,Scale,100,,,
373737,1992374,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1992374,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100,,,
373737,1325422,missing,3,4/1/13,MCAS,MCAS ELA,ELA,3,Performance Level,Level,4-P,Scaled Score,Scale,252,CPI,Scale,100,,,
373737,1325422,missing,3,5/1/13,MCAS,MCAS Math,Math,3,Performance Level,Level,4-P,Scaled Score,Scale,256,CPI,Scale,100,,,
373737,1707277,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
373737,1707277,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75,,,
373737,1223505,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50,,,
373737,1223505,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,2-W,Scaled Score,Scale,218,CPI,Scale,25,,,
373737,1850355,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
373737,1850355,missing,4,5/1/13,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
373737,1382899,missing,4,4/1/13,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75,,,
